SeriesName,SeriesCode,CountryName,CountryCode,Year
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1981
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1981
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1981
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1982
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1982
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1982
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1982
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1982
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1983
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1983
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1983
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1983
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1983
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1984
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1984
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1984
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1984
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1984
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1985
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1985
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1985
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1985
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1985
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1986
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1986
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1986
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1986
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1986
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1987
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1987
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1987
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1987
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1987
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1988
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1988
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1988
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1988
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1988
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1989
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1989
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1989
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1989
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1989
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1990
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1990
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1990
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1990
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1990
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1991
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1991
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1991
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1991
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1991
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1992
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1992
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1992
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1992
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1992
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1993
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1993
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1993
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1993
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1993
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1994
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1994
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1994
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1994
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1994
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1995
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1995
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1995
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1995
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1995
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1996
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1996
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1996
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1996
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1996
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1997
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1997
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1997
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1997
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1997
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1998
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1998
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1998
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1998
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1998
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1999
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1999
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1999
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1999
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1999
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,2000
