SeriesName,Year
Data from database: World Development Indicators,1970
Data from database: World Development Indicators,1971
Data from database: World Development Indicators,1972
Data from database: World Development Indicators,1973
Data from database: World Development Indicators,1974
Data from database: World Development Indicators,1975
Data from database: World Development Indicators,1976
Data from database: World Development Indicators,1977
Data from database: World Development Indicators,1978
Data from database: World Development Indicators,1979
Data from database: World Development Indicators,1980
Data from database: World Development Indicators,1981
Data from database: World Development Indicators,1982
Data from database: World Development Indicators,1983
Data from database: World Development Indicators,1984
Data from database: World Development Indicators,1985
Data from database: World Development Indicators,1986
Data from database: World Development Indicators,1987
Data from database: World Development Indicators,1988
Data from database: World Development Indicators,1989
Data from database: World Development Indicators,1990
Data from database: World Development Indicators,1991
Data from database: World Development Indicators,1992
Data from database: World Development Indicators,1993
Data from database: World Development Indicators,1994
Data from database: World Development Indicators,1995
Data from database: World Development Indicators,1996
Data from database: World Development Indicators,1997
Data from database: World Development Indicators,1998
Data from database: World Development Indicators,1999
Data from database: World Development Indicators,2000
Data from database: World Development Indicators,2001
Data from database: World Development Indicators,2002
Data from database: World Development Indicators,2003
Data from database: World Development Indicators,2004
Data from database: World Development Indicators,2005
Data from database: World Development Indicators,2006
Data from database: World Development Indicators,2007
Data from database: World Development Indicators,2008
Data from database: World Development Indicators,2009
Data from database: World Development Indicators,2010
Data from database: World Development Indicators,2011
Data from database: World Development Indicators,2012
Data from database: World Development Indicators,2013
Data from database: World Development Indicators,2014
Data from database: World Development Indicators,2015
Data from database: World Development Indicators,2016
Data from database: World Development Indicators,2017
Data from database: World Development Indicators,2018
Data from database: World Development Indicators,2019
