SeriesName,SeriesCode,CountryName,CountryCode,Year
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1970
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1970
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1970
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1970
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1970
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1971
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1971
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1971
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1971
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1971
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1972
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1972
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1972
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1972
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1972
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1973
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1973
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1973
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1973
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1973
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1974
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1974
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1974
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1974
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1974
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1975
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1975
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1975
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1975
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1975
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1976
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1976
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1976
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1976
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1976
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1977
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1977
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1977
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1977
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1977
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1978
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1978
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1978
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1978
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1978
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1979
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1979
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1979
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1979
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1979
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1980
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1980
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1980
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1980
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1980
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1981
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1981
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1981
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1981
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1981
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1982
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1982
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1982
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1982
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1982
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1983
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1983
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1983
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1983
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1983
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1984
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1984
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1984
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1984
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1984
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1985
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1985
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1985
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1985
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1985
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1986
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1986
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1986
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1986
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1986
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1987
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1987
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1987
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1987
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1987
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1988
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1988
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,India,IND,1988
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Russian Federation,RUS,1988
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,South Africa,ZAF,1988
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Brazil,BRA,1989
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,China,CHN,1989
